Harga,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Jumlah Lantai,Kondisi Properti,Carport,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Kecamatan
1200000000,2,1,102,59,Lainnya,2200,1,Bagus,1,0,0,Cikupa
1200000000,4,3,77,133,SHM,4400,2,Bagus,1,0,0,Cikupa
1200000000,2,2,48,72,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1200000000,4,4,120,150,HGB,1300,1,Bagus,1,1,1,Cikupa
1200000000,4,2,160,160,SHM,2200,2,Bagus,1,0,0,Cikupa
1200000000,2,2,48,60,Lainnya,2200,2,Bagus,1,1,1,Kelapa Dua
1200000000,2,1,108,60,SHM,1300,1,Butuh Renovasi,1,0,0,Kelapa Dua
1210000000,1,2,30,41,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1210000000,1,2,30,41,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1220000000,3,2,98,70,SHM,5500,2,Bagus,1,0,0,Cisauk
1250000000,4,3,120,120,SHM,3500,2,Bagus,1,0,0,Cikupa
1250000000,4,4,132,160,SHM,2200,2,Baru,2,1,1,Cikupa
1250000000,3,3,77,70,SHM,3500,2,Baru,1,1,0,Cikupa
1250000000,4,3,132,180,SHM,2200,2,Baru,2,0,0,Cikupa
1250000000,3,2,90,120,SHM,4400,2,Bagus,1,0,0,Kresek
1250000000,3,3,100,180,SHM,5500,2,Baru,2,0,0,Cikupa
1250000000,3,2,50,68,Lainnya,2200,2,Baru,2,0,0,Pagedangan
1250000000,3,3,120,120,SHM,2200,2,Bagus,1,0,0,Cikupa
1250000000,2,2,48,56,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1250000000,4,2,32,90,Lainnya,2200,3,Baru,1,0,0,Pagedangan
1250000000,3,2,72,90,SHM,3500,2,Bagus,1,0,1,Kelapa Dua
1250000000,3,1,119,130,SHM,2200,2,Bagus,1,1,1,Kelapa Dua
1250000000,3,2,72,92,SHM,2200,2,Baru,1,0,0,Cikupa
1250000000,3,3,75,92,Lainnya,2200,2,Baru,2,0,0,Cikupa
1250000000,3,2,95,88,SHM,2200,2,Bagus,1,1,1,Cisauk
1250000000,3,3,77,120,SHM,2200,2,Baru,2,1,0,Cikupa
1250000000,3,2,160,110,SHM,2200,1,Bagus,1,1,0,Cikupa
1270000000,2,1,72,42,SHM,2200,1,Baru,1,0,0,Kelapa Dua
1270000000,2,1,48,45,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1270000000,2,1,84,70,SHM,2200,1,Bagus,1,0,0,Kelapa Dua
1270000000,2,2,98,70,SHM,2200,1,Bagus,1,0,0,Pagedangan
1270000000,2,1,98,69,Lainnya,3500,1,Bagus,1,1,0,Pagedangan
1280000000,3,2,64,83,HGB,2200,2,Bagus,1,0,0,Kelapa Dua
1280000000,2,2,50,59,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1300000000,3,2,52,52,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1300000000,2,2,54,53,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1300000000,2,2,48,75,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1300000000,2,2,86,150,SHM,3300,2,Bagus,1,0,0,Curug
1300000000,2,2,48,70,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1300000000,2,2,90,85,Lainnya,2200,2,Baru,1,1,1,Cisauk
1300000000,3,3,96,80,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1300000000,4,3,136,180,SHM,2200,2,Bagus,1,0,0,Cikupa
1300000000,3,1,90,72,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1310000000,3,3,78,73,SHM,1300,2,Bagus,1,0,0,Kelapa Dua
1310000000,3,3,78,73,SHM,1300,2,Bagus,1,0,0,Kelapa Dua
1330000000,3,4,136,125,SHM,2200,2,Bagus,1,1,0,Kelapa Dua
1330000000,3,2,200,200,Lainnya,1300,1,Bagus,1,0,0,Kelapa Dua
1330000000,3,2,91,90,SHM,3500,1,Bagus,1,0,0,Kelapa Dua
1330000000,3,2,200,200,Lainnya,1300,1,Bagus,1,0,0,Kelapa Dua
1330000000,3,2,200,200,Lainnya,1300,1,Bagus,1,0,0,Kelapa Dua
1330000000,2,2,48,59,SHM,3500,2,Bagus,1,1,0,Kelapa Dua
1330000000,2,1,90,55,SHM,2200,1,Bagus,1,0,0,Kelapa Dua
1350000000,2,2,137,120,SHM,4400,1,Bagus,1,1,1,Cisauk
1350000000,3,2,52,60,Lainnya,2200,2,Baru,1,0,0,Kelapa Dua
1350000000,3,1,151,72,Lainnya,2200,1,Bagus,1,0,0,Curug
1350000000,3,1,151,72,Lainnya,2200,1,Bagus,1,0,0,Curug
1350000000,3,2,72,136,SHM,2200,2,Baru,1,1,0,Kelapa Dua
1350000000,3,3,105,98,Lainnya,3500,2,Baru,2,0,0,Cikupa
1350000000,3,2,55,60,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1350000000,3,2,60,77,SHM,2200,2,Bagus,1,1,1,Kelapa Dua
1350000000,3,2,160,115,Lainnya,2200,2,Bagus,1,1,1,Cikupa
1350000000,3,2,105,93,SHM,2200,2,Bagus,1,1,1,Cikupa
1350000000,2,2,52,48,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1350000000,4,2,105,126,SHM,2200,2,Bagus,1,1,1,Cisauk
1350000000,2,1,60,59,PPJB,2200,2,Bagus,1,0,0,Kelapa Dua
1370000000,2,2,160,122,PPJB,2200,1,Bagus,1,0,0,Cikupa
1380000000,5,2,140,200,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1380000000,1,1,56,68,SHM,2200,2,Bagus,1,0,1,Kelapa Dua
1390000000,3,3,136,122,SHM,3500,2,Bagus,1,1,0,Kelapa Dua
1390000000,3,3,136,122,SHM,3500,2,Bagus,1,1,0,Kelapa Dua
1390000000,2,3,90,130,SHM,3500,2,Bagus,1,0,0,Kelapa Dua
1390000000,4,2,114,138,SHM,1300,2,Bagus,1,0,0,Kelapa Dua
1390000000,3,2,79,88,SHM,2200,2,Baru,2,0,0,Cisauk
1390000000,2,2,102,89,Lainnya,2200,2,Bagus,2,0,0,Cikupa
1400000000,2,2,56,68,Lainnya,2200,1,Bagus,1,0,0,Kelapa Dua
1400000000,3,3,96,112,Lainnya,2200,2,Baru,1,1,1,Cikupa
1400000000,3,2,60,77,Lainnya,2200,1,Bagus,1,0,0,Kelapa Dua
1400000000,3,2,141,78,SHM,4400,1,Bagus,1,1,1,Sepatan
1400000000,3,2,60,77,SHM,2200,1,Bagus,1,1,1,Kelapa Dua
1400000000,3,2,141,78,SHM,4400,2,Baru,1,1,1,Sepatan
1400000000,3,3,128,112,SHM,2200,1,Bagus,1,1,1,Cikupa
1400000000,2,2,80,85,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1400000000,3,3,88,102,Lainnya,4400,2,Bagus,1,1,1,Cikupa
1400000000,3,2,60,74,SHM,2200,2,Baru,1,1,0,Cisauk
1400000000,4,3,84,69,Lainnya,2200,2,Baru,2,0,0,Curug
1400000000,4,3,84,69,Lainnya,2200,2,Baru,2,0,0,Curug
1400000000,3,2,180,120,SHM,2200,2,Baru,1,1,1,Cikupa
1400000000,3,3,140,116,Lainnya,2200,2,Bagus,1,0,0,Cikupa
1400000000,3,2,160,115,SHM,2200,2,Bagus,1,1,1,Cikupa
1400000000,3,2,60,77,Lainnya,3300,1,Bagus,1,1,1,Kelapa Dua
1400000000,4,3,63,130,SHM,3500,2,Bagus,1,1,1,Kelapa Dua
1400000000,2,2,48,56,SHM,2200,1,Bagus,1,0,0,Kelapa Dua
1400000000,3,2,141,78,SHM,4400,2,Bagus,2,1,1,Sepatan
1400000000,2,2,56,74,Lainnya,3500,1,Bagus,1,0,0,Kelapa Dua
1410000000,3,3,72,89,HGB,2200,2,Baru,2,0,0,Cisauk
1420000000,5,2,78,144,SHM,4400,2,Bagus,1,0,0,Kelapa Dua
1430000000,2,2,48,58,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1430000000,3,3,78,73,Lainnya,1300,2,Bagus,1,0,0,Kelapa Dua
1430000000,3,2,60,60,SHM,2200,2,Baru,2,1,1,Kelapa Dua
1430000000,2,2,48,58,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1440000000,3,2,120,100,SHM,3500,1,Bagus,1,1,0,Kelapa Dua
1440000000,2,2,120,90,SHM,2200,1,Bagus,1,1,0,Kelapa Dua
1450000000,3,2,83,60,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1450000000,3,3,60,95,SHM,3500,1,Bagus,1,0,0,Kelapa Dua
1450000000,3,2,83,60,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1450000000,3,3,160,122,SHM,2200,2,Bagus,1,1,1,Cikupa
1450000000,3,2,180,130,SHM,2200,2,Bagus,1,1,0,Cikupa
1450000000,3,2,83,60,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1450000000,3,2,160,160,Lainnya,2200,2,Bagus,1,1,1,Cikupa
1450000000,3,3,96,112,Lainnya,3500,1,Bagus,1,0,0,Cikupa
1450000000,3,2,83,60,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1450000000,3,2,83,60,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1450000000,3,2,72,65,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1450000000,4,3,63,150,HGB,2200,3,Bagus,1,1,0,Cikupa
1450000000,2,2,56,68,Lainnya,2200,2,Bagus,1,1,0,Kelapa Dua
1450000000,2,2,72,44,Lainnya,2200,1,Bagus,1,0,0,Kelapa Dua
1450000000,3,2,120,55,SHM,2200,1,Bagus,1,0,0,Cikupa
1450000000,2,2,56,68,Lainnya,2200,2,Bagus,1,1,0,Kelapa Dua
1450000000,2,2,56,68,HGB,2200,2,Bagus,1,1,0,Kelapa Dua
1450000000,2,2,108,90,SHM,3500,2,Bagus,1,1,1,Kelapa Dua
1470000000,2,2,98,70,Lainnya,2200,1,Bagus,1,0,0,Pagedangan
1480000000,3,3,84,100,SHM,2200,2,Bagus,2,0,0,Cisauk
1480000000,3,4,60,80,Lainnya,2200,1,Bagus,1,0,0,Kelapa Dua
1490000000,4,3,270,246,SHM,30500,2,Bagus,1,0,0,Curug
1490000000,4,4,270,246,SHM,3300,2,Butuh Renovasi,1,1,0,Curug
1500000000,3,1,112,112,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1500000000,3,2,52,70,PPJB,2200,2,Bagus,1,0,0,Kelapa Dua
1500000000,2,2,60,61,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1500000000,3,2,72,75,PPJB,4400,2,Butuh Renovasi,1,0,0,Kelapa Dua
1500000000,3,4,63,108,SHM,3500,3,Bagus,1,1,1,Kelapa Dua
1500000000,3,5,63,108,SHM,3500,1,Bagus,1,0,0,Kelapa Dua
1500000000,3,5,63,108,SHM,2200,3,Bagus,1,1,0,Kelapa Dua
1500000000,2,3,227,150,SHM,3500,1,Bagus,2,0,0,Cikupa
1500000000,2,1,120,120,SHM,3500,1,Bagus,1,0,0,Kelapa Dua
1500000000,2,2,56,83,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1500000000,3,2,90,100,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1500000000,3,2,72,60,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1500000000,4,2,564,300,SHM,2200,1,Bagus,1,0,0,Cikupa
1500000000,3,4,54,127,SHM,2200,1,Bagus,1,0,0,Cikupa
1500000000,3,2,240,150,SHM,2200,1,Bagus,1,1,1,Cikupa
1500000000,4,3,120,92,HGB,2200,2,Baru,1,0,0,Cikupa
1500000000,3,4,63,108,SHM,3500,3,Bagus,2,0,0,Kelapa Dua
1500000000,2,2,72,84,SHM,2200,1,Bagus,1,0,0,Kelapa Dua
1500000000,2,2,72,44,PPJB,2200,2,Bagus,1,0,0,Kelapa Dua
1500000000,3,2,63,76,Lainnya,2200,2,Baru,1,1,1,Kelapa Dua
1500000000,2,2,66,68,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1500000000,3,2,63,85,SHM,2200,2,Bagus,1,1,1,Kelapa Dua
1500000000,3,3,60,89,SHM,3500,3,Bagus,1,1,1,Kelapa Dua
1500000000,3,2,72,90,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1500000000,3,2,63,76,PPJB,2200,2,Bagus,1,1,1,Kelapa Dua
1500000000,3,2,52,70,PPJB,2200,2,Bagus,1,0,0,Kelapa Dua
1500000000,4,3,120,92,HGB,2200,2,Bagus,1,0,0,Cikupa
1500000000,4,3,84,101,SHM,2200,2,Bagus,1,1,0,Cikupa
1500000000,3,2,90,65,SHM,2200,2,Bagus,2,0,0,Kelapa Dua
1500000000,3,2,90,65,SHM,2200,1,Bagus,1,0,0,Kelapa Dua
1500000000,2,1,206,42,SHM,1300,1,Bagus,1,0,0,Cikupa
1520000000,3,2,72,77,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1520000000,3,2,77,82,SHM,2200,2,Baru,1,1,1,Legok
1540000000,3,2,180,130,SHM,2200,2,Bagus,1,1,1,Cikupa
1550000000,4,2,255,100,SHM,900,1,Bagus,1,0,0,Kelapa Dua
1550000000,4,2,100,160,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1550000000,2,3,105,70,SHM,2200,2,Bagus,1,1,0,Kelapa Dua
1550000000,2,2,77,73,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1550000000,2,2,77,73,SHM,2200,1,Bagus,2,0,0,Kelapa Dua
1550000000,3,3,136,134,HGB,2200,2,Bagus,1,0,0,Cikupa
1550000000,3,2,102,80,SHM,2200,2,Bagus,1,0,0,Cisauk
1550000000,2,3,105,70,SHM,2200,2,Bagus,1,1,0,Kelapa Dua
1550000000,2,2,77,73,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1550000000,3,5,63,108,SHM,3500,3,Bagus,1,0,0,Kelapa Dua
1550000000,4,3,157,203,SHM,2200,2,Bagus,1,0,0,Cikupa
1550000000,3,3,105,116,Lainnya,5500,2,Bagus,1,0,0,Pasar Kemis
1550000000,3,2,72,90,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1550000000,2,2,56,85,HGB,2200,2,Bagus,1,0,0,Kelapa Dua
1550000000,3,2,160,115,Lainnya,2200,2,Bagus,1,1,1,Cikupa
1550000000,3,2,160,115,Lainnya,2200,2,Bagus,1,1,1,Cikupa
1550000000,4,3,95,160,SHM,2200,2,Baru,1,1,1,Cikupa
1550000000,3,3,105,116,HGB,3500,2,Baru,1,0,0,Cikupa
1550000000,3,3,72,77,Lainnya,2200,2,Bagus,1,1,1,Kelapa Dua
1550000000,3,2,72,65,SHM,1300,2,Bagus,1,0,0,Kelapa Dua
1560000000,2,3,65,97,SHM,2200,2,Bagus,1,1,1,Cisauk
1560000000,3,2,72,142,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1570000000,3,3,72,80,SHM,2200,1,Baru,2,0,0,Cisauk
1570000000,3,2,72,142,SHM,2200,2,Bagus,1,1,0,Kelapa Dua
1570000000,3,2,72,142,SHM,2200,2,Baru,1,0,0,Kelapa Dua
1570000000,3,2,72,142,SHM,2200,2,Baru,2,0,0,Kelapa Dua
1570000000,3,2,78,80,Lainnya,2200,2,Baru,1,0,0,Curug
1600000000,3,2,90,65,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1600000000,3,2,60,67,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1600000000,3,2,60,85,SHM,3500,2,Bagus,1,0,0,Kelapa Dua
1600000000,3,2,60,90,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1600000000,3,2,160,118,Lainnya,2200,1,Bagus,1,1,1,Cikupa
1600000000,3,2,63,72,PPJB,2200,2,Bagus,1,0,0,Kelapa Dua
1600000000,3,2,60,100,SHM,2200,1,Bagus,1,0,0,Kelapa Dua
1600000000,3,2,60,90,SHM,3500,2,Bagus,1,0,0,Kelapa Dua
1600000000,3,2,60,100,SHM,2200,2,Baru,1,0,0,Kelapa Dua
1600000000,3,2,160,115,PPJB,2200,2,Bagus,1,1,1,Cikupa
1600000000,3,3,80,130,PPJB,2200,3,Bagus,2,1,1,Kelapa Dua
1600000000,2,2,66,77,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1600000000,3,2,60,100,SHM,2200,2,Bagus,1,1,1,Kelapa Dua
1600000000,3,2,72,65,HGB,2200,2,Bagus,1,0,0,Kelapa Dua
1600000000,2,2,56,70,SHM,4400,2,Bagus,1,0,0,Kelapa Dua
1600000000,2,2,45,60,Lainnya,4400,2,Baru,1,0,0,Teluk Naga
1600000000,2,2,66,66,Lainnya,2200,1,Bagus,1,0,0,Kelapa Dua
1600000000,4,3,96,112,SHM,2200,2,Baru,1,1,1,Cikupa
1600000000,3,2,60,100,SHM,2200,1,Bagus,1,0,0,Kelapa Dua
1600000000,2,2,66,62,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1600000000,3,2,72,84,Lainnya,2200,2,Bagus,1,1,1,Kelapa Dua
1600000000,3,2,63,79,PPJB,2200,1,Bagus,1,0,0,Kelapa Dua
1600000000,2,2,56,70,SHM,4400,2,Bagus,1,0,0,Kelapa Dua
1600000000,3,3,72,80,Lainnya,2200,2,Baru,2,0,0,Cisauk
1600000000,4,3,157,203,SHM,2200,2,Bagus,1,0,0,Cikupa
1600000000,2,2,60,60,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1600000000,2,2,56,70,SHM,4400,1,Bagus,1,0,0,Kelapa Dua
1600000000,3,2,77,74,Lainnya,3300,2,Bagus,1,1,1,Kelapa Dua
1600000000,2,1,206,42,Lainnya,2200,1,Baru,1,0,0,Cikupa
1600000000,3,2,60,100,SHM,2200,1,Baru,1,0,0,Kelapa Dua
1600000000,2,2,56,71,Lainnya,3300,2,Bagus,1,0,0,Kelapa Dua
1600000000,3,3,60,90,Lainnya,8000,1,Bagus,1,1,1,Kelapa Dua
1600000000,2,2,56,71,PPJB,2200,2,Bagus,1,0,0,Kelapa Dua
1600000000,3,2,60,100,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1600000000,2,2,77,73,SHM,2200,2,Bagus,2,0,0,Kelapa Dua
1620000000,2,2,77,73,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1620000000,3,1,72,80,SHM,3500,2,Baru,2,1,0,Cisauk
1630000000,3,3,72,80,SHM,3500,2,Baru,2,0,0,Cisauk
1650000000,2,2,72,60,PPJB,2200,2,Bagus,1,0,0,Kelapa Dua
1650000000,3,2,83,80,SHM,3500,2,Bagus,1,0,0,Kelapa Dua
1650000000,3,2,160,115,SHM,2200,1,Bagus,1,1,1,Cikupa
1650000000,2,2,160,130,Lainnya,2200,2,Bagus,1,1,1,Cikupa
1650000000,2,2,105,65,SHM,2200,2,Bagus,1,1,1,Legok
1650000000,3,2,60,69,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1650000000,3,2,105,51,SHM,2200,2,Bagus,1,0,0,Jatiuwung
1650000000,3,2,60,65,Lainnya,2200,2,Bagus,1,0,0,Kelapa Dua
1650000000,2,2,66,60,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1650000000,3,2,60,67,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1650000000,3,1,60,60,SHM,2200,2,Bagus,1,0,0,Kelapa Dua
1650000000,4,3,63,150,HGB,2200,2,Bagus,2,1,1,Sindang Jaya
1650000000,3,2,180,130,Lainnya,2200,2,Bagus,1,1,1,Cikupa
1650000000,3,2,60,69,Lainnya,3500,2,Baru,1,0,0,Kelapa Dua
1660000000,4,3,120,100,SHM,1300,2,Bagus,1,0,0,Cikupa
1660000000,4,3,84,210,Lainnya,1300,2,Bagus,1,0,0,Kelapa Dua
